movie_id,title,genres,year,avg_rating,rating_count,tags,tmdb_id,tmdb_title,overview,runtime,release_date,tmdb_vote_average,tmdb_vote_count,director,cast_top3,tmdb_genres,poster_path,popularity
11,"American President, The","['Comedy', 'Drama', 'Romance']",1995,3.6714285714285713,70.0,"['politics', 'president']",9087,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",113,1995-11-17,6.5,774,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen,Drama|Romance,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,3.2415
12,Dracula: Dead and Loving It,"['Comedy', 'Horror']",1995,2.4210526315789473,19.0,,12110,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",88,1995-12-22,6.1,1087,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck,Comedy|Horror,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,2.7363
13,Balto,"['Adventure', 'Animation', 'Children']",1995,3.125,8.0,,21032,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",78,1995-12-22,7.3,2159,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda,Family|Animation|Adventure|Drama|History,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,3.4853
14,Nixon,['Drama'],1995,3.8333333333333335,18.0,"['politics', 'president']",10858,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,192,1995-12-22,6.9,391,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,Drama|History,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,3.4179
15,Cutthroat Island,"['Action', 'Adventure', 'Romance']",1995,3.0,13.0,,1408,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",124,1995-12-22,5.8,609,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella,Action|Adventure,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,2.8944
16,Casino,"['Crime', 'Drama']",1995,3.926829268292683,82.0,['mafia'],524,Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",179,1995-11-22,8.0,6430,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci,Crime|Drama,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,9.2881
17,Sense and Sensibility,"['Drama', 'Romance']",1995,3.7761194029850746,67.0,['jane austen'],4584,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",136,1995-12-13,7.4,1812,Ang Lee,Emma Thompson|Kate Winslet|Alan Rickman,Drama|Romance,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,5.6951
18,Four Rooms,['Comedy'],1995,3.7,20.0,,5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,98,1995-12-09,5.9,2811,Allison Anders,Tim Roth|Jennifer Beals|David Proval,Comedy,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,3.6194
19,Ace Ventura: When Nature Calls,['Comedy'],1995,2.727272727272727,88.0,,9273,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",90,1995-11-10,6.323,4485,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow,Crime|Comedy|Adventure,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,4.0526
20,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995,2.5,15.0,,11517,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",110,1995-11-21,5.9,848,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez,Action|Comedy|Crime,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,2.7511
21,Get Shorty,"['Comedy', 'Crime', 'Thriller']",1995,3.49438202247191,89.0,['hollywood'],8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",105,1995-10-20,6.5,1193,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo,Comedy|Thriller|Crime,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,4.5282
22,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",1995,3.2222222222222223,36.0,['serial killer'],1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,124,1995-10-27,6.5,1230,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,Thriller|Crime|Mystery,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,3.9664
23,Assassins,"['Action', 'Crime', 'Thriller']",1995,3.125,16.0,,9691,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",132,1995-10-06,6.5,1681,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore,Action|Adventure|Crime|Thriller,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,3.4175
24,Powder,"['Drama', 'Sci-Fi']",1995,3.125,28.0,,12665,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",112,1995-10-27,7.0,703,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,Drama|Fantasy,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,3.4232
25,Leaving Las Vegas,"['Drama', 'Romance']",1995,3.625,76.0,['alcoholism'],451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",111,1995-10-27,7.2,1615,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands,Drama|Romance,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,3.0334
26,Othello,['Drama'],1995,3.5,13.0,['shakespeare'],16420,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,123,1995-12-15,6.3,148,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh,Drama,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,1.4885
27,Now and Then,"['Children', 'Drama']",1995,3.3333333333333335,9.0,,9263,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",102,1995-10-20,6.9,469,Lesli Linka Glatter,Christina Ricci|Rosie O'Donnell|Thora Birch,Comedy|Drama|Romance,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,2.8744
28,Persuasion,"['Drama', 'Romance']",1995,4.2272727272727275,11.0,"['in netflix queue', 'jane austen']",17015,Persuasion,"In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.",104,1995-05-01,7.1,141,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood,Drama|Romance,/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,3.3628
29,"City of Lost Children, The (CitÃ© des enfants perdus, La)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",1995,4.0131578947368425,38.0,['kidnapping'],,,,,,,,,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),"['Crime', 'Drama']",1995,3.0,3.0,,,,,,,,,,,,,
31,Dangerous Minds,['Drama'],1995,3.1842105263157894,38.0,"['high school', 'teacher']",9909,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",99,1995-08-11,7.0,1243,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,Drama,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,3.8692
32,Twelve Monkeys (a.k.a. 12 Monkeys),"['Mystery', 'Sci-Fi', 'Thriller']",1995,3.983050847457627,177.0,"['brad pitt', 'bruce willis', 'mindfuck', 'post apocalyptic', 'post-apocalyptic', 'remake', 'time travel', 'twist ending']",,,,,,,,,,,,
34,Babe,"['Children', 'Drama']",1995,3.65234375,128.0,"['animal movie', 'pigs', 'villain nonexistent or not needed for good story']",9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",92,1995-07-18,6.268,3086,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann,Fantasy|Drama|Comedy|Family,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,7.8558
36,Dead Man Walking,"['Crime', 'Drama']",1995,3.8358208955223883,67.0,"['death penalty', 'nun']",687,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,122,1995-12-29,7.3,1474,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky,Drama,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,3.0505
38,It Takes Two,"['Children', 'Comedy']",1995,2.125,4.0,['twins'],33689,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",101,1995-11-17,6.5,956,Andy Tennant,Kirstie Alley|Steve Guttenberg|Ashley Olsen,Comedy|Family|Romance,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,2.7506
39,Clueless,"['Comedy', 'Romance']",1995,3.293269230769231,104.0,"['chick flick', 'emma', 'funny', 'jane austen', 'paul rudd', 'quotable', 'seen more than once']",9603,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",97,1995-07-19,7.3,4742,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy,Comedy|Romance,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,5.8783
40,"Cry, the Beloved Country",['Drama'],1995,4.25,2.0,"['in netflix queue', 'south africa']",34615,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,106,1995-12-15,6.7,26,Darrell James Roodt,Richard Harris|James Earl Jones|Charles S. Dutton,Drama,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,0.7861
41,Richard III,"['Drama', 'War']",1995,3.7,15.0,['shakespeare'],31174,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",104,1995-12-29,6.7,192,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent,Drama|War,/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1.7259
42,Dead Presidents,"['Action', 'Crime', 'Drama']",1995,3.0,7.0,,11443,Dead Presidents,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,119,1995-09-29,6.7,320,Albert Hughes,Larenz Tate|Keith David|Chris Tucker,Crime|Drama|Action,/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,2.7855
43,Restoration,['Drama'],1995,3.1875,8.0,['england'],35196,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",117,1995-12-29,6.1,131,Michael Hoffman,Robert Downey Jr.|Meg Ryan|Sam Neill,Drama|Romance,/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,1.6464
44,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",1995,2.5434782608695654,46.0,,9312,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.",101,1995-08-18,5.876,2485,Paul W. S. Anderson,Robin Shou|Linden Ashby|Bridgette Wilson-Sampras,Action|Fantasy,/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,5.1241
45,To Die For,"['Comedy', 'Drama', 'Thriller']",1995,3.3125,32.0,['journalism'],577,To Die For,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",106,1995-09-22,6.6,865,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix,Drama|Comedy|Crime,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,3.3253
46,How to Make an American Quilt,"['Drama', 'Romance']",1995,3.066666666666667,15.0,['wedding'],11861,How to Make an American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",116,1995-10-06,6.4,191,Jocelyn Moorhouse,Winona Ryder|Anne Bancroft|Ellen Burstyn,Drama|Romance,/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,1.712
47,Seven (a.k.a. Se7en),"['Mystery', 'Thriller']",1995,3.9753694581280787,203.0,"['mystery', 'serial killer', 'twist ending']",,,,,,,,,,,,
48,Pocahontas,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",1995,3.1470588235294117,68.0,,10530,Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",81,1995-06-16,6.9,6023,Mike Gabriel,Irene Bedard|Mel Gibson|David Ogden Stiers,Adventure|Animation|Family|Romance,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,5.7175
49,When Night Is Falling,"['Drama', 'Romance']",1995,3.0,1.0,,8391,When Night Is Falling,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",96,1995-02-01,6.3,88,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny,Drama|Romance,/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,1.4811
50,"Usual Suspects, The","['Crime', 'Mystery', 'Thriller']",1995,4.237745098039215,204.0,"['heist', 'mindfuck', 'suspense', 'thriller', 'tricky', 'twist ending']",629,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",106,1995-07-19,8.2,11243,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Benicio del Toro,Drama|Crime|Thriller,/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,10.4173
52,Mighty Aphrodite,"['Comedy', 'Drama', 'Romance']",1995,3.4642857142857144,28.0,"['adoption', 'prostitution']",11448,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",95,1995-09-13,6.7,735,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter,Comedy|Romance,/ice135yQZp4iX2SgCmd90nKgS5j.jpg,2.4264
53,Lamerica,"['Adventure', 'Drama']",1994,5.0,2.0,,49133,Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",112,1994-09-09,7.1,62,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani,Drama,/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,2.874
54,"Big Green, The","['Children', 'Comedy']",1995,2.3333333333333335,3.0,,26441,The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",100,1995-09-29,5.6,200,Holly Goldberg Sloan,Olivia D'Abo|Steve Guttenberg|Chauncey Leopardi,Family|Comedy,/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,1.4623
55,Georgia,['Drama'],1995,4.0,1.0,,97406,Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",115,1995-05-19,5.7,46,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine,Drama,/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1.0766
57,Home for the Holidays,['Drama'],1995,3.0625,8.0,,9089,Home for the Holidays,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",103,1995-11-02,6.2,190,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft,Comedy|Drama|Romance,/3zqlKdOttWyExzopVxglz50Vjxq.jpg,1.6675
58,"Postman, The (Postino, Il)","['Comedy', 'Drama', 'Romance']",1994,4.027027027027027,37.0,['writing'],11010,The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,114,1994-09-22,7.9,1203,Michael Radford,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta,Comedy|Drama|Romance,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,2.9161
60,"Indian in the Cupboard, The","['Adventure', 'Children', 'Fantasy']",1995,3.235294117647059,34.0,,11359,The Indian in the Cupboard,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,96,1995-07-14,6.5,667,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse,Adventure|Family|Fantasy,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,2.346
61,Eye for an Eye,"['Drama', 'Thriller']",1996,3.75,6.0,,17182,Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",101,1996-01-12,6.2,457,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris,Thriller|Drama,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,3.0068
62,Mr. Holland's Opus,['Drama'],1995,3.70625,80.0,['music'],2054,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",143,1995-12-29,7.0,446,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas,Drama|Music,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1.9387
